FIPS,Total,Male,Female,Eighteen_Years_Plus,SixFive_Years_Plus,One_Race,Two_Plus_Races
6107,461898,230966,230932,318740,51531,446186,15712
6109,54045,28112,25933,45058,13827,51679,2366
6111,847263,419111,428152,650476,127628,809127,38136
6113,217352,105438,111914,171326,26396,203693,13659
6115,76360,38950,37410,55282,9375,70706,5654
8001,504108,254500,249608,368248,51105,482247,21861
8003,16107,8059,8048,12174,2130,15666,441
8005,644560,318960,325600,490971,82111,615739,28821
8007,13253,6657,6596,10951,3384,13059,194
8009,3561,1744,1817,2813,926,3480,81
8011,5787,3735,2052,4909,1033,5705,82
8013,322510,162211,160299,260064,44094,312728,9782
8014,67886,33817,34069,52145,9026,65443,2443
8015,19557,10488,9069,16613,4899,19191,366
8017,2026,1012,1014,1418,335,1946,80
8019,9495,4778,4717,7990,1846,9195,300
8021,8128,4088,4040,5964,1513,7919,209
8023,3745,1985,1760,3061,1023,3597,148
8025,5754,3654,2100,5045,770,5480,274
8027,4776,2442,2334,4060,1717,4661,115
8029,30565,15453,15112,24484,7727,30098,467
8031,705576,353311,352265,565889,81488,678940,26636
8033,1857,1042,815,1449,513,1829,28
8035,336041,167729,168312,246806,38417,326083,9958
8037,54681,29060,25621,42688,5877,53714,967
8039,25717,13020,12697,20145,3984,24958,759
8041,698974,352903,346071,529098,87111,657209,41765
8043,47321,27599,19722,39826,10010,46272,1049
8045,59055,30109,28946,44075,7477,57924,1131
8047,6018,3048,2970,5200,1079,5748,270
8049,15303,8087,7216,12634,2561,15128,175
8051,16802,9101,7701,13894,2186,16485,317
8053,857,385,472,719,210,839,18
8055,6679,3288,3391,5605,2083,6397,282
8057,1261,648,613,1076,357,1256,5
8059,574798,286412,288386,459719,91969,558662,16136
8061,1489,722,767,1096,368,1443,46
8063,7447,3994,3453,5651,1365,7392,55
8065,7751,4308,3443,6351,818,7625,126
8067,55617,27999,27618,45007,9150,54319,1298
8069,344786,172000,172786,276396,52161,333841,10945
8071,14266,7485,6781,11734,3377,13520,746
8073,5585,3561,2024,4462,971,5533,52
8075,22380,12086,10294,17782,3838,21463,917
8077,151218,74601,76617,118188,28079,147750,3468
8079,824,422,402,728,221,788,36
8081,13127,6797,6330,9766,1808,12785,342
8083,26031,12874,13157,20340,5605,25495,536
8085,41686,20526,21160,32607,9635,41021,665
8087,28517,14348,14169,21091,4384,27535,982
8089,18282,8904,9378,13872,3671,17722,560
8091,4796,2437,2359,4033,1330,4756,40
8093,17867,9515,8352,15085,3566,17256,611
8095,4290,2226,2064,3147,741,4225,65
8097,17926,9344,8582,15044,3192,17676,250
8099,12022,6132,5890,8951,2092,11820,202
8101,165982,81738,84244,128353,30198,159301,6681
8103,6384,3260,3124,4837,973,6027,357
8105,11305,5632,5673,8694,2196,11066,239
8107,25072,13044,12028,20473,3664,24857,215
8109,6592,3283,3309,5155,1475,6300,292
8111,589,292,297,513,146,579,10
8113,8049,4240,3809,6604,1088,7903,146
8115,2322,1109,1213,1738,537,2289,33
8117,30649,16696,13953,25672,3914,30069,580
8119,24524,12480,12044,20201,5163,23855,669
8121,4868,2550,2318,3757,977,4793,75
8123,305345,154294,151051,224943,36217,296169,9176
8125,10003,4977,5026,7340,1825,9854,149
9001,943926,459636,484290,729424,146621,914186,29740
9003,893561,433975,459586,704384,149889,861699,31862
9005,182002,90109,91893,148312,37457,178043,3959
9007,163053,79641,83412,133740,32072,159686,3367
9009,857513,413519,443994,682679,145741,829602,27911
9011,267390,134037,133353,214989,47421,253119,14271
9013,151063,75601,75462,124488,23140,147484,3579
9015,116566,57727,58839,93225,18712,112255,4311
10001,176699,85199,91500,135938,29417,169410,7289
10003,556165,269189,286976,435516,84268,541571,14594
10005,224384,108502,115882,182110,60489,219188,5196
11001,692683,328644,364039,568753,83670,671238,21445
12001,265443,128220,137223,217701,36313,256337,9106
12003,28211,14701,13510,21478,3873,27675,536
12005,182161,90531,91630,143212,31048,175149,7012
12007,27317,15021,12296,21899,4867,27011,306
12009,585507,286412,299095,477754,137161,564830,20677
12011,1926205,938043,988162,1516025,314061,1862467,63738
12013,14362,7917,6445,11460,2755,13946,416
12015,181067,88465,92602,158851,71735,177813,3254
12017,145169,70474,74695,123624,52661,142743,2426
12019,211405,104304,107101,161700,32543,201856,9549
12021,371453,182946,188507,306859,117197,366619,4834
12023,69968,36232,33736,54789,12791,68111,1857
12027,36903,20836,16067,29694,8002,36452,451
12029,16589,9289,7300,13587,3773,16121,468
12031,936186,454084,482102,724134,128443,902288,33898
12033,313491,155157,158334,247878,51909,297032,16459
12035,109801,52399,57402,90969,32922,107408,2393
12037,11811,6734,5077,9913,2681,11631,180
12039,45945,21790,24155,35902,7957,45495,450
12041,17953,9415,8538,14216,3637,17569,384
12043,13516,7509,6007,11436,3638,13364,152
12045,15576,9109,6467,13038,3221,15305,271
12047,14326,8403,5923,11594,2431,14118,208
12049,27131,14696,12435,20020,4285,26836,295
12051,40732,21600,19132,29750,5345,39384,1348
12053,186313,89454,96859,151898,51205,181352,4961
12055,103437,50361,53076,85665,36409,101271,2166
12057,1422278,695072,727206,1102618,198181,1369004,53274
12059,19432,10546,8886,15638,3850,19117,315
12061,153989,73951,80038,128694,49685,150763,3226
12063,47945,26318,21627,39005,9234,46910,1035
12065,14161,7432,6729,11854,3249,13986,175
12067,8637,5125,3512,6738,1188,8373,264
12069,345867,167643,178224,278957,91815,338179,7688
12071,737468,361232,376236,605916,207169,724314,13154
12073,289770,137486,152284,235555,37380,281640,8130
12075,40403,19718,20685,32456,9734,39378,1025
12077,8345,4973,3372,6969,1280,8213,132
12079,18460,9866,8594,14998,3716,18356,104
12081,384213,185822,198391,312878,103677,376908,7305
12083,353526,169652,183874,287543,101238,345385,8141
12085,159065,78707,80358,132790,48674,156405,2660
12086,2699428,1311459,1387969,2146165,430906,2653841,45587
12087,75798,39491,36307,64343,16789,74864,934
12089,83098,41211,41887,66539,17884,82116,982
12091,203794,103422,100372,158543,32045,193688,10106
12093,41144,22205,18939,32262,8135,40317,827
